"Carimbo de data/hora","Pontuação total","Do you play video games?","Do you play video games? [Pontuação]","Do you play video games? [Feedback]","Do you like to play video games?","Do you like to play video games? [Pontuação]","Do you like to play video games? [Feedback]","Can you give some examples of games you play?","Can you give some examples of games you play? [Pontuação]","Can you give some examples of games you play? [Feedback]","This questionnaire is about video games; do you agree to do your best to answer these questions?","This questionnaire is about video games; do you agree to do your best to answer these questions? [Pontuação]","This questionnaire is about video games; do you agree to do your best to answer these questions? [Feedback]","How many hours a week you play?","How many hours a week you play? [Pontuação]","How many hours a week you play? [Feedback]","Which platform do you use to play?","Which platform do you use to play? [Pontuação]","Which platform do you use to play? [Feedback]","Which game genre would you rather play?","Which game genre would you rather play? [Pontuação]","Which game genre would you rather play? [Feedback]","Why do you like the game genre you chose? ","Why do you like the game genre you chose?  [Pontuação]","Why do you like the game genre you chose?  [Feedback]","Given these 2 examples of physics, which one would you prefer to see in a game? ","Given these 2 examples of physics, which one would you prefer to see in a game?  [Pontuação]","Given these 2 examples of physics, which one would you prefer to see in a game?  [Feedback]","When you kill an enemy, which would you prefer","When you kill an enemy, which would you prefer [Pontuação]","When you kill an enemy, which would you prefer [Feedback]","Would you rather have your character do a big jump normally or a small one (more realistic)? ","Would you rather have your character do a big jump normally or a small one (more realistic)?  [Pontuação]","Would you rather have your character do a big jump normally or a small one (more realistic)?  [Feedback]","Do you like when you can interact with the environment? ","Do you like when you can interact with the environment?  [Pontuação]","Do you like when you can interact with the environment?  [Feedback]","Do you like to have no bullet spread or realistic? ","Do you like to have no bullet spread or realistic?  [Pontuação]","Do you like to have no bullet spread or realistic?  [Feedback]","Which type of physics do you prefer? ","Which type of physics do you prefer?  [Pontuação]","Which type of physics do you prefer?  [Feedback]","Knowing the different mechanics and physics from the other questions, which one would you like to see more in other games? ","Knowing the different mechanics and physics from the other questions, which one would you like to see more in other games?  [Pontuação]","Knowing the different mechanics and physics from the other questions, which one would you like to see more in other games?  [Feedback]","Following the previous question, which ones do you not like? ","Following the previous question, which ones do you not like?  [Pontuação]","Following the previous question, which ones do you not like?  [Feedback]"
"2022/04/22 1:10:10 da manhã CET","0.00 / 0","Yes, I play","-- / 0","","Yes, I do.","-- / 0","","","-- / 0","","Yes, I'm sure","-- / 0","","6 - 12","-- / 0","","PC","-- / 0","","Shooters, FPS (e.g., “Halo”, “Battlefield” or “Counterstrike”)","-- / 0","","","-- / 0","","Double Jump","-- / 0","","Ragdoll","-- / 0","","A bigger jump is always better","-- / 0","","Yes, I like to destroy everything!","-- / 0","","Realistic bullet spread","-- / 0","","Realistic physics","-- / 0","","Ragdoll","-- / 0","","Missing enemy;Realistic bullet spread","-- / 0",""
"2022/04/22 1:20:11 da manhã CET","0.00 / 0","No, I don't play","-- / 0","","","","","","","","Yes, I'm sure","-- / 0","","0 - 5","-- / 0","","Mobile Phone","-- / 0","","Sandbox (e.g., “GTA”, “Minecraft” or “The Sims”)","-- / 0","","","-- / 0","","Coyote Jump","-- / 0","","Enemy disappearing","-- / 0","","A bigger jump is always better","-- / 0","","No, I like the levels to keep the same","-- / 0","","Less realistic, please!","-- / 0","","Simulated physics","-- / 0","","Coyote Time;Disappearing enemy;Levolution","-- / 0","","Ragdoll;Realistic bullet spread","-- / 0",""
"2022/04/22 1:26:52 da manhã CET","0.00 / 0","Yes, I play","-- / 0","","Yes, I do.","-- / 0","","CSGO. Black Desert. Witcher 3. Fifa. ","-- / 0","","Yes, I'm sure","-- / 0","","24+","-- / 0","","PC","-- / 0","","Role playing games (e.g., “Skyrim”, “The Witcher 3” or “Fallout 4”)","-- / 0","","Immersion. Story depth. Combat mechanics and physics.","-- / 0","","Double Jump","-- / 0","","Ragdoll","-- / 0","","A bigger jump is always better","-- / 0","","Yes, I like to destroy everything!","-- / 0","","Less realistic, please!","-- / 0","","Realistic physics","-- / 0","","Coyote Time;Double Jumping;Ragdoll;Disappearing enemy;Levolution;Realistic bullet spread","-- / 0","","Missing enemy","-- / 0",""
"2022/04/22 2:38:47 da manhã CET","0.00 / 0","Yes, I play","-- / 0","","Yes, I do.","-- / 0","","counter strike, pubg, apex and f1","-- / 0","","Yes, I'm sure","-- / 0","","6 - 12","-- / 0","","PC","-- / 0","","Shooters, FPS (e.g., “Halo”, “Battlefield” or “Counterstrike”)","-- / 0","","I feel like is the most intuitive and fun","-- / 0","","Double Jump","-- / 0","","Ragdoll","-- / 0","","A bigger jump is always better","-- / 0","","Yes, I like to destroy everything!","-- / 0","","Realistic bullet spread","-- / 0","","Realistic physics","-- / 0","","Disappearing enemy;Realistic bullet spread","-- / 0","","Missing enemy","-- / 0",""
"2022/04/22 2:39:38 da manhã CET","0.00 / 0","No, I don't play","-- / 0","","","","","","","","Yes, I'm sure","-- / 0","","0 - 5","-- / 0","","Mobile Phone","-- / 0","","Sandbox (e.g., “GTA”, “Minecraft” or “The Sims”)","-- / 0","","","-- / 0","","Double Jump","-- / 0","","Enemy disappearing","-- / 0","","A bigger jump is always better","-- / 0","","Yes, I like to destroy everything!","-- / 0","","Realistic bullet spread","-- / 0","","Simulated physics","-- / 0","","Double Jumping;Levolution","-- / 0","","Realistic bullet spread","-- / 0",""
"2022/04/22 2:48:49 da manhã CET","0.00 / 0","Yes, I play","-- / 0","","Yes, I do.","-- / 0","","Arma 3, Valorant, Escape from Tarkov, cs go","-- / 0","","Yes, I'm sure","-- / 0","","12 - 24","-- / 0","","PC","-- / 0","","Shooters, FPS (e.g., “Halo”, “Battlefield” or “Counterstrike”)","-- / 0","","Adrenaline boost","-- / 0","","Double Jump","-- / 0","","Ragdoll","-- / 0","","A bigger jump is always better","-- / 0","","Yes, I like to destroy everything!","-- / 0","","Realistic bullet spread","-- / 0","","Realistic physics","-- / 0","","Realistic bullet spread","-- / 0","","Missing enemy","-- / 0",""
"2022/04/22 2:55:05 da manhã CET","0.00 / 0","Yes, I play","-- / 0","","Yes, I do.","-- / 0","","CSGO, rocket league, Tft","-- / 0","","Yes, I'm sure","-- / 0","","12 - 24","-- / 0","","PC","-- / 0","","Shooters, FPS (e.g., “Halo”, “Battlefield” or “Counterstrike”)","-- / 0","","Action","-- / 0","","Double Jump","-- / 0","","Ragdoll","-- / 0","","No, I like it more realistic","-- / 0","","Yes, I like to destroy everything!","-- / 0","","Realistic bullet spread","-- / 0","","Realistic physics","-- / 0","","Ragdoll","-- / 0","","Missing enemy","-- / 0",""
"2022/04/22 3:01:57 da manhã CET","0.00 / 0","No, I don't play","-- / 0","","","","","","","","Yes, I'm sure","-- / 0","","0 - 5","-- / 0","","Console","-- / 0","","Adventure (e.g., “Star Wars Jedi: Fallen Order”, “Sekiro: Shadows Die Twice” or “Assassin’s Creed”)","-- / 0","","","-- / 0","","Double Jump","-- / 0","","Enemy disappearing","-- / 0","","A bigger jump is always better","-- / 0","","No, I like the levels to keep the same","-- / 0","","Realistic bullet spread","-- / 0","","Realistic physics","-- / 0","","Disappearing enemy","-- / 0","","Ragdoll","-- / 0",""
"2022/04/22 3:20:41 da manhã CET","0.00 / 0","Yes, I play","-- / 0","","Yes, I do.","-- / 0","","Call Of Duty Mobile","-- / 0","","Yes, I'm sure","-- / 0","","6 - 12","-- / 0","","Mobile Phone","-- / 0","","Shooters, FPS (e.g., “Halo”, “Battlefield” or “Counterstrike”)","-- / 0","","Enjoyable game plus can be played with friends too","-- / 0","","Double Jump","-- / 0","","Ragdoll","-- / 0","","No, I like it more realistic","-- / 0","","Yes, I like to destroy everything!","-- / 0","","Less realistic, please!","-- / 0","","Realistic physics","-- / 0","","Double Jumping","-- / 0","","Double Jumping","-- / 0",""
"2022/04/22 3:31:19 da manhã CET","0.00 / 0","Yes, I play","-- / 0","","Yes, I do.","-- / 0","","Apex legends ","-- / 0","","Yes, I'm sure","-- / 0","","24+","-- / 0","","PC","-- / 0","","Shooters, FPS (e.g., “Halo”, “Battlefield” or “Counterstrike”)","-- / 0","","I'm good at them ","-- / 0","","Double Jump","-- / 0","","Ragdoll","-- / 0","","No, I like it more realistic","-- / 0","","Yes, I like to destroy everything!","-- / 0","","Realistic bullet spread","-- / 0","","Realistic physics","-- / 0","","Ragdoll","-- / 0","","Missing enemy","-- / 0",""
